Data,Bebidas_Cantidad,Bebidas_Ventas,Comida_Cantidad,Comida_Ventas,Otros_Cantitdad,Otros_Ventas,Total_Cantidad,Total_Ventas,,,
15/08/2019,214,459.70,165,598.60,7,36.40,386,1094.70,,,
16/08/2019,228,499.35,141,442.10,14,101.30,383,1042.75,,,
17/08/2019,211,461.40,145,467.50,7,28.50,363,957.40,,,
18/08/2019,195,439.75,146,497.10,8,28.50,349,965.35,,,
19/08/2019,214,481.35,102,342.30,9,60.10,325,883.75,,,
20/08/2019,206,436.35,125,391.10,15,39.50,346,866.95,,,
21/08/2019,234,489.15,138,410.50,10,36.40,382,936.05,,,
22/08/2019,236,512.65,143,428.60,3,0.00,382,941.25,,,
23/08/2019,208,431.20,151,505.50,6,25.40,365,962.10,,,
24/08/2019,226,476.70,185,599.90,3,0.50,414,1077.10,,,
25/08/2019,282,636.85,203,704.60,9,47.40,494,1388.85,,,
26/08/2019,221,473.90,124,419.00,9,23.70,354,916.60,,,
27/08/2019,245,502.80,150,447.90,16,12.70,411,963.40,,,
28/08/2019,334,695.25,189,600.40,41,23.70,564,1319.35,,,
29/08/2019,173,362.30,108,339.30,9,15.80,290,717.40,,,
30/08/2019,222,511.30,124,426.80,11,39.50,357,977.60,,,
31/08/2019,200,441.35,147,514.30,8,23.70,355,979.35,,,
01/09/2019,229,517.95,158,560.20,15,69.70,402,1147.85,,,
02/09/2019,179,375.90,85,259.10,5,23.70,269,658.70,,,
03/09/2019,190,410.05,115,378.40,26,15.80,331,804.25,,,
04/09/2019,157,328.40,112,380.60,6,23.70,275,732.70,,,
05/09/2019,214,435.02,131,420.00,13,31.60,358,886.62,,,
06/09/2019,234,489.70,135,467.10,17,52.20,386,1009.00,,,
07/09/2019,268,588.65,173,532.50,20,44.30,461,1165.45,,,
08/09/2019,314,684.75,197,640.80,30,110.60,541,1436.15,,,
09/09/2019,246,535.25,140,476.60,17,57.00,403,1068.85,,,
10/09/2019,252,518.80,140,429.00,20,41.20,412,989.00,,,
11/09/2019,277,592.60,137,415.40,19,60.10,433,1068.10,,,
12/09/2019,284,603.10,162,508.90,28,80.70,474,1192.70,,,
13/09/2019,286,601.03,155,523.60,34,103.00,475,1227.63,,,
14/09/2019,409,858.95,237,747.60,33,73.10,679,1679.65,,,
15/09/2019,332,708.85,182,570.80,24,72.80,538,1352.45,,,
16/09/2019,267,558.70,126,389.10,23,47.40,416,995.20,,,
17/09/2019,285,612.85,142,483.60,22,39.50,449,1135.95,,,
18/09/2019,246,558.20,136,417.20,27,23.70,409,999.10,,,
19/09/2019,324,677.35,157,510.00,18,52.20,499,1239.55,,,
20/09/2019,390,836.85,199,629.60,34,106.10,623,1572.55,,,
21/09/2019,460,1002.40,293,989.30,71,95.10,824,2086.80,,,
22/09/2019,447,991.25,281,873.50,34,68.00,762,1932.75,,,
23/09/2019,295,651.80,170,560.10,27,47.40,492,1259.30,,,
24/09/2019,353,753.10,177,545.30,33,23.70,563,1322.10,,,
25/09/2019,300,634.55,150,466.80,31,75.90,481,1177.25,,,
26/09/2019,298,615.10,155,493.10,28,39.50,481,1147.70,,,
27/09/2019,330,704.45,207,685.40,28,63.20,565,1453.05,,,
28/09/2019,406,899.05,229,736.60,55,86.90,690,1722.55,,,
29/09/2019,345,760.65,202,680.70,19,47.40,566,1488.75,,,
30/09/2019,280,611.05,195,667.90,42,82.40,517,1361.35,,,
01/10/2019,304,684.00,155,491.70,29,57.00,488,1232.70,,,
02/10/2019,278,588.95,164,519.40,40,35.00,482,1143.35,,,
03/10/2019,286,621.55,186,600.30,54,39.50,526,1261.35,,,
04/10/2019,192,434.55,128,397.70,22,12.70,342,844.95,,,
05/10/2019,498,1125.58,300,951.60,69,154.93,867,2232.11,,,
06/10/2019,327,753.90,202,698.80,31,15.80,560,1468.50,,,
07/10/2019,254,527.90,155,520.20,31,55.30,440,1103.40,,,
08/10/2019,255,528.25,147,445.90,42,39.50,444,1013.65,,,
09/10/2019,319,674.95,163,498.40,27,61.80,509,1235.15,,,
10/10/2019,252,543.15,140,494.30,22,79.00,414,1116.45,,,
11/10/2019,241,511.95,140,427.20,20,23.70,401,962.85,,,
12/10/2019,412,922.00,243,822.90,57,117.10,712,1862.00,,,
13/10/2019,362,794.45,239,771.40,36,66.60,637,1632.45,,,
14/10/2019,299,660.45,157,527.60,18,36.40,474,1224.45,,,
15/10/2019,281,602.15,145,451.50,27,44.30,453,1097.95,,,
16/10/2019,308,631.20,143,451.20,28,23.70,479,1106.10,,,
17/10/2019,277,583.75,162,506.90,17,20.60,456,1111.25,,,
18/10/2019,303,653.75,157,496.50,24,77.60,484,1227.85,,,
19/10/2019,481,1030.30,278,887.80,52,112.90,811,2031.00,,,
20/10/2019,433,962.75,273,879.00,24,82.40,730,1924.15,,,
21/10/2019,340,739.55,202,652.90,37,77.60,579,1470.05,,,
22/10/2019,299,651.10,185,605.70,32,60.40,516,1317.20,,,
23/10/2019,248,584.00,146,465.90,18,12.70,412,1062.60,,,
24/10/2019,269,626.90,157,483.00,29,53.90,455,1163.80,,,
25/10/2019,301,637.80,163,559.00,20,60.10,484,1256.90,,,
26/10/2019,449,959.00,296,988.10,70,69.70,815,2016.80,,,
27/10/2019,393,902.60,273,898.60,34,64.90,700,1866.10,,,
28/10/2019,298,622.25,152,506.30,31,57.00,481,1185.55,,,
29/10/2019,272,579.85,155,455.70,27,7.90,454,1043.45,,,
30/10/2019,328,726.50,166,564.50,26,31.60,520,1322.60,,,
31/10/2019,300,658.70,196,697.10,14,63.20,510,1419.00,,,
01/11/2019,358,790.70,220,707.80,23,47.40,601,1545.90,,,
02/11/2019,492,1068.65,282,942.60,29,44.30,803,2055.55,,,
03/11/2019,436,987.50,253,775.80,25,60.10,714,1823.40,,,
04/11/2019,262,560.80,155,475.40,13,31.60,430,1067.80,,,
05/11/2019,299,612.70,126,422.70,36,39.50,461,1074.90,,,
06/11/2019,273,566.00,127,379.90,21,28.50,421,974.40,,,
07/11/2019,297,637.40,123,356.60,30,20.60,450,1014.60,,,
08/11/2019,328,696.90,165,522.10,22,20.60,515,1239.60,,,
09/11/2019,467,1050.95,230,815.60,52,99.90,749,1966.45,,,
